prices,market_caps,total_volumes,label
"[0.52078164 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098
 0.61312165 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401
 0.55107819 0.53781856 0.56562901 0.57366351 0.54350454 0.54136981
 0.52318888 0.52424661 0.67449269 0.63669262 0.58620811 0.53364273]","[0.50963012 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612
 0.59844883 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677
 0.5316287  0.53257352 0.55591389 0.56164915 0.53394017 0.52874604
 0.5121424  0.51318313 0.66064323 0.62961167 0.58012923 0.50611903]","[0.23825016 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088
 0.30494878 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033
 0.29451296 0.29251107 0.28180658 0.27878433 0.27196188 0.26788275
 0.24903668 0.25341695 0.29313981 0.31636073 0.29963553 0.27008478]",-1
"[0.52955518 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165
 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401 0.55107819
 0.53781856 0.56562901 0.57366351 0.54350454 0.54136981 0.52318888
 0.52424661 0.67449269 0.63669262 0.58620811 0.53364273 0.508578  ]","[0.52365536 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883
 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287
 0.53257352 0.55591389 0.56164915 0.53394017 0.52874604 0.5121424
 0.51318313 0.66064323 0.62961167 0.58012923 0.50611903 0.49785009]","[0.24014207 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878
 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296
 0.29251107 0.28180658 0.27878433 0.27196188 0.26788275 0.24903668
 0.25341695 0.29313981 0.31636073 0.29963553 0.27008478 0.26802797]",1
"[0.57054409 0.56682401 0.61263532 0.60640098 0.61312165 0.6109699
 0.58316138 0.59377091 0.61212905 0.60629401 0.55107819 0.53781856
 0.56562901 0.57366351 0.54350454 0.54136981 0.52318888 0.52424661
 0.67449269 0.63669262 0.58620811 0.53364273 0.508578   0.52282696]","[0.55847952 0.55483298 0.58164858 0.59145612 0.59844883 0.60247639
 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287  0.53257352
 0.55591389 0.56164915 0.53394017 0.52874604 0.5121424  0.51318313
 0.66064323 0.62961167 0.58012923 0.50611903 0.49785009 0.5113839 ]","[0.26331175 0.27248782 0.2916336  0.30011088 0.30494878 0.30685735
 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296 0.29251107
 0.28180658 0.27878433 0.27196188 0.26788275 0.24903668 0.25341695
 0.29313981 0.31636073 0.29963553 0.27008478 0.26802797 0.26405611]",1
"[0.56682401 0.61263532 0.60640098 0.61312165 0.6109699  0.58316138
 0.59377091 0.61212905 0.60629401 0.55107819 0.53781856 0.56562901
 0.57366351 0.54350454 0.54136981 0.52318888 0.52424661 0.67449269
 0.63669262 0.58620811 0.53364273 0.508578   0.52282696 0.52671054]","[0.55483298 0.58164858 0.59145612 0.59844883 0.60247639 0.57667035
 0.57969589 0.59339592 0.59673677 0.5316287  0.53257352 0.55591389
 0.56164915 0.53394017 0.52874604 0.5121424  0.51318313 0.66064323
 0.62961167 0.58012923 0.50611903 0.49785009 0.5113839  0.52583338]","[0.27248782 0.2916336  0.30011088 0.30494878 0.30685735 0.28037163
 0.30430365 0.30837063 0.29983033 0.29451296 0.29251107 0.28180658
 0.27878433 0.27196188 0.26788275 0.24903668 0.25341695 0.29313981
 0.31636073 0.29963553 0.27008478 0.26802797 0.26405611 0.24432505]",-1
"[0.61263532 0.60640098 0.61312165 0.6109699  0.58316138 0.59377091
 0.61212905 0.60629401 0.55107819 0.53781856 0.56562901 0.57366351
 0.54350454 0.54136981 0.52318888 0.52424661 0.67449269 0.63669262
 0.58620811 0.53364273 0.508578   0.52282696 0.52671054 0.51151241]","[0.58164858 0.59145612 0.59844883 0.60247639 0.57667035 0.57969589
 0.59339592 0.59673677 0.5316287  0.53257352 0.55591389 0.56164915
 0.53394017 0.52874604 0.5121424  0.51318313 0.66064323 0.62961167
 0.58012923 0.50611903 0.49785009 0.5113839  0.52583338 0.50123439]","[0.2916336  0.30011088 0.30494878 0.30685735 0.28037163 0.30430365
 0.30837063 0.29983033 0.29451296 0.29251107 0.28180658 0.27878433
 0.27196188 0.26788275 0.24903668 0.25341695 0.29313981 0.31636073
 0.29963553 0.27008478 0.26802797 0.26405611 0.24432505 0.23141475]",-1
"[0.60640098 0.61312165 0.6109699  0.58316138 0.59377091 0.61212905
 0.60629401 0.55107819 0.53781856 0.56562901 0.57366351 0.54350454
 0.54136981 0.52318888 0.52424661 0.67449269 0.63669262 0.58620811
 0.53364273 0.508578   0.52282696 0.52671054 0.51151241 0.41637187]","[0.59145612 0.59844883 0.60247639 0.57667035 0.57969589 0.59339592
 0.59673677 0.5316287  0.53257352 0.55591389 0.56164915 0.53394017
 0.52874604 0.5121424  0.51318313 0.66064323 0.62961167 0.58012923
 0.50611903 0.49785009 0.5113839  0.52583338 0.50123439 0.45349272]","[0.30011088 0.30494878 0.30685735 0.28037163 0.30430365 0.30837063
 0.29983033 0.29451296 0.29251107 0.28180658 0.27878433 0.27196188
 0.26788275 0.24903668 0.25341695 0.29313981 0.31636073 0.29963553
 0.27008478 0.26802797 0.26405611 0.24432505 0.23141475 0.20707701]",1
"[0.61312165 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401
 0.55107819 0.53781856 0.56562901 0.57366351 0.54350454 0.54136981
 0.52318888 0.52424661 0.67449269 0.63669262 0.58620811 0.53364273
 0.508578   0.52282696 0.52671054 0.51151241 0.41637187 0.46510583]","[0.59844883 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677
 0.5316287  0.53257352 0.55591389 0.56164915 0.53394017 0.52874604
 0.5121424  0.51318313 0.66064323 0.62961167 0.58012923 0.50611903
 0.49785009 0.5113839  0.52583338 0.50123439 0.45349272 0.4476911 ]","[0.30494878 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033
 0.29451296 0.29251107 0.28180658 0.27878433 0.27196188 0.26788275
 0.24903668 0.25341695 0.29313981 0.31636073 0.29963553 0.27008478
 0.26802797 0.26405611 0.24432505 0.23141475 0.20707701 0.218805  ]",1
"[0.6109699  0.58316138 0.59377091 0.61212905 0.60629401 0.55107819
 0.53781856 0.56562901 0.57366351 0.54350454 0.54136981 0.52318888
 0.52424661 0.67449269 0.63669262 0.58620811 0.53364273 0.508578
 0.52282696 0.52671054 0.51151241 0.41637187 0.46510583 0.49162148]","[0.60247639 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287
 0.53257352 0.55591389 0.56164915 0.53394017 0.52874604 0.5121424
 0.51318313 0.66064323 0.62961167 0.58012923 0.50611903 0.49785009
 0.5113839  0.52583338 0.50123439 0.45349272 0.4476911  0.47862511]","[0.30685735 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296
 0.29251107 0.28180658 0.27878433 0.27196188 0.26788275 0.24903668
 0.25341695 0.29313981 0.31636073 0.29963553 0.27008478 0.26802797
 0.26405611 0.24432505 0.23141475 0.20707701 0.218805   0.22262277]",1
"[0.58316138 0.59377091 0.61212905 0.60629401 0.55107819 0.53781856
 0.56562901 0.57366351 0.54350454 0.54136981 0.52318888 0.52424661
 0.67449269 0.63669262 0.58620811 0.53364273 0.508578   0.52282696
 0.52671054 0.51151241 0.41637187 0.46510583 0.49162148 0.49962473]","[0.57667035 0.57969589 0.59339592 0.59673677 0.5316287  0.53257352
 0.55591389 0.56164915 0.53394017 0.52874604 0.5121424  0.51318313
 0.66064323 0.62961167 0.58012923 0.50611903 0.49785009 0.5113839
 0.52583338 0.50123439 0.45349272 0.4476911  0.47862511 0.48941378]","[0.28037163 0.30430365 0.30837063 0.29983033 0.29451296 0.29251107
 0.28180658 0.27878433 0.27196188 0.26788275 0.24903668 0.25341695
 0.29313981 0.31636073 0.29963553 0.27008478 0.26802797 0.26405611
 0.24432505 0.23141475 0.20707701 0.218805   0.22262277 0.21870371]",1
"[0.59377091 0.61212905 0.60629401 0.55107819 0.53781856 0.56562901
 0.57366351 0.54350454 0.54136981 0.52318888 0.52424661 0.67449269
 0.63669262 0.58620811 0.53364273 0.508578   0.52282696 0.52671054
 0.51151241 0.41637187 0.46510583 0.49162148 0.49962473 0.52319668]","[0.57969589 0.59339592 0.59673677 0.5316287  0.53257352 0.55591389
 0.56164915 0.53394017 0.52874604 0.5121424  0.51318313 0.66064323
 0.62961167 0.58012923 0.50611903 0.49785009 0.5113839  0.52583338
 0.50123439 0.45349272 0.4476911  0.47862511 0.48941378 0.51227219]","[0.30430365 0.30837063 0.29983033 0.29451296 0.29251107 0.28180658
 0.27878433 0.27196188 0.26788275 0.24903668 0.25341695 0.29313981
 0.31636073 0.29963553 0.27008478 0.26802797 0.26405611 0.24432505
 0.23141475 0.20707701 0.218805   0.22262277 0.21870371 0.21899566]",1
